wavelength,flux,flux_err,flux_noskysub,flux_err_noskysub
4772.50,1.07138e-17,4.40248e-18,2.19061e-17,4.40248e-18
4772.75,9.34335e-18,4.40060e-18,2.05444e-17,4.40060e-18
4773.00,3.89739e-18,4.39545e-18,1.51076e-17,4.39545e-18
4773.25,7.92639e-18,4.39016e-18,1.91445e-17,4.39016e-18
4773.50,1.11610e-17,4.38615e-18,2.23870e-17,4.38615e-18
4773.75,1.15042e-17,4.38387e-18,2.27382e-17,4.38387e-18
4774.00,8.62063e-18,4.38337e-18,1.98625e-17,4.38337e-18
4774.25,1.21785e-17,4.38381e-18,2.34307e-17,4.38381e-18
4774.50,1.02523e-17,4.38425e-18,2.15125e-17,4.38425e-18
4774.75,1.10374e-17,4.38469e-18,2.23056e-17,4.38469e-18
4775.00,1.15822e-17,4.38514e-18,2.28584e-17,4.38514e-18
4775.25,1.01225e-17,4.38557e-18,2.14067e-17,4.38557e-18
4775.50,6.43604e-18,4.38608e-18,1.77293e-17,4.38608e-18
4775.75,1.17070e-17,4.38656e-18,2.30089e-17,4.38656e-18
4776.00,1.58743e-17,4.38687e-18,2.71824e-17,4.38687e-18
4776.25,1.47040e-17,4.38705e-18,2.60160e-17,4.38705e-18
4776.50,1.04270e-17,4.38706e-18,2.17406e-17,4.38706e-18
4776.75,8.28381e-18,4.38690e-18,1.95961e-17,4.38690e-18
4777.00,8.15479e-18,4.38654e-18,1.94629e-17,4.38654e-18
4777.25,8.74992e-18,4.38620e-18,2.00542e-17,4.38620e-18
4777.50,8.48199e-18,4.38585e-18,1.97824e-17,4.38585e-18
4777.75,6.35483e-18,4.38550e-18,1.76513e-17,4.38550e-18
4778.00,3.40289e-18,4.38514e-18,1.46954e-17,4.38514e-18
4778.25,8.84098e-18,4.38476e-18,2.01290e-17,4.38476e-18
4778.50,2.93096e-18,4.38438e-18,1.42146e-17,4.38438e-18
4778.75,1.15691e-17,4.38403e-18,2.28488e-17,4.38403e-18
4779.00,1.22378e-17,4.38369e-18,2.35136e-17,4.38369e-18
4779.25,7.48568e-18,4.38337e-18,1.87576e-17,4.38337e-18
4779.50,9.53935e-18,4.38305e-18,2.08073e-17,4.38305e-18
4779.75,1.60735e-17,4.38267e-18,2.73366e-17,4.38267e-18
4780.00,9.88918e-18,4.38237e-18,2.11483e-17,4.38237e-18
4780.25,8.04680e-18,4.38207e-18,1.93021e-17,4.38207e-18
4780.50,8.04833e-18,4.38178e-18,1.92998e-17,4.38178e-18
4780.75,8.42866e-18,4.38149e-18,1.96764e-17,4.38149e-18
4781.00,1.18917e-17,4.38117e-18,2.31351e-17,4.38117e-18
4781.25,1.45375e-17,4.38085e-18,2.57767e-17,4.38085e-18
4781.50,1.17548e-17,4.38056e-18,2.29903e-17,4.38056e-18
4781.75,7.18703e-18,4.38027e-18,1.84188e-17,4.38027e-18
